Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company,Month,Budget_Planned,Variance,Cost_Per_Click
All Ages,Increase Sales,30 Days,Facebook,0.14,6187.27,6.13,16001,48915,1,Health,2022-03-22,Pulse Point,Mar,6805.997000000001,618.7270000000008,0.39
Women 18-24,Product Launch,30 Days,Pinterest,0.04,4589.29,1.3173673332486415,6844,23269,1,Health,2022-01-06,Fitness Front,Jan,5048.219,458.9290000000001,0.67
All Ages,Increase Sales,60 Days,Twitter,0.09,14590.8,2.37,37791,113459,1,Home,2022-06-14,Dwell Delight,Jun,16049.880000000001,1459.0800000000017,0.39
Women 25-34,Increase Sales,45 Days,Pinterest,0.08,8941.86,0.2359463880445328,13788,45876,1,Fashion,2022-02-01,Style Sphere,Feb,9836.046000000002,894.1860000000015,0.65
Women 35-44,Brand Awareness,30 Days,Twitter,0.06,6441.36,7.34,16687,50948,10,Food,2022-07-22,Culinary Quest,Jul,7085.496,644.1360000000004,0.39
Women 35-44,Product Launch,15 Days,Twitter,0.14,500.0,3.82,754,3754,9,Health,2022-05-02,Balance Beam,May,550.0,50.0,0.66
Men 25-34,Market Expansion,60 Days,Instagram,0.1,14066.87,5.49,36812,110559,6,Health,2022-02-17,Heal Hub,Feb,15473.557000000003,1406.6870000000017,0.38
Women 45-60,Product Launch,30 Days,Facebook,0.05,6455.9,7.54,16725,51059,9,Home,2022-05-05,Hearth Harmony,May,7101.49,645.5900000000001,0.39
Women 45-60,Product Launch,15 Days,Pinterest,0.09,1465.79,0.9169734626276164,2196,8131,1,Food,2022-12-20,Nosh Nirvana,Dec,1612.3690000000001,146.57900000000018,0.67
All Ages,Brand Awareness,60 Days,Pinterest,0.12,11676.73,0.9348481889946264,18156,60100,1,Home,2022-04-16,Cozy Corners,Apr,12844.403,1167.6730000000007,0.64
Women 35-44,Increase Sales,15 Days,Facebook,0.14,3231.1,0.57,7975,25141,6,Technology,2022-01-31,Innovate Infinity,Jan,3554.21,323.1100000000001,0.41
All Ages,Product Launch,30 Days,Twitter,0.1,7638.84,4.48,19921,60526,1,Food,2022-07-20,Epicurean Edge,Jul,8402.724,763.884,0.38
Men 35-44,Increase Sales,30 Days,Facebook,0.11,4638.83,7.86,11789,36439,5,Health,2022-02-14,Elixir Essence,Feb,5102.713000000001,463.8830000000007,0.39
Women 45-60,Increase Sales,15 Days,Facebook,0.11,3868.25,5.4,9679,30189,5,Fashion,2022-09-11,Trend Tailors,Sep,4255.075000000001,386.8250000000007,0.4
Men 45-60,Increase Sales,60 Days,Pinterest,0.11,13376.98,1.13683259694184,20729,68477,1,Fashion,2022-07-30,Trend Tailors,Jul,14714.678,1337.6980000000003,0.65
Women 35-44,Brand Awareness,15 Days,Pinterest,0.07,3673.92,0.0446868159175251,5376,18489,1,Home,2022-07-30,Nest Neat,Jul,4041.3120000000004,367.3920000000003,0.68
Women 35-44,Market Expansion,30 Days,Instagram,0.14,5291.16,1.99,13568,41709,7,Health,2022-10-24,Pulse Point,Oct,5820.276000000001,529.1160000000009,0.39
Women 35-44,Brand Awareness,45 Days,Instagram,0.02,11307.54,6.85,29915,90130,4,Food,2022-08-13,Gourmet Grove,Aug,12438.294000000002,1130.7540000000008,0.38
Men 25-34,Market Expansion,30 Days,Instagram,0.01,6133.43,7.51,15858,48492,4,Fashion,2022-09-26,Mode Maven,Sep,6746.773000000001,613.3430000000008,0.39
Women 45-60,Market Expansion,30 Days,Facebook,0.14,4167.01,0.17,10500,32622,9,Fashion,2022-12-12,Mode Maven,Dec,4583.711,416.701,0.4
Women 18-24,Brand Awareness,30 Days,Pinterest,0.04,6570.66,0.2341589154078318,10001,33545,1,Health,2022-01-13,Heal Hub,Jan,7227.726000000001,657.0660000000007,0.66
Women 45-60,Market Expansion,60 Days,Facebook,0.02,11940.03,5.48,31614,95161,10,Technology,2022-07-21,Cyber Circuit,Jul,13134.033000000001,1194.0030000000006,0.38
Men 18-24,Increase Sales,30 Days,Twitter,0.1,4215.75,0.57,10631,33009,2,Health,2022-06-09,Balance Beam,Jun,4637.325000000001,421.5750000000007,0.4
Men 45-60,Increase Sales,30 Days,Twitter,0.13,7543.09,4.86,19661,59755,9,Technology,2022-09-29,Tech Titans,Sep,8297.399000000001,754.3090000000011,0.38
Men 35-44,Market Expansion,45 Days,Instagram,0.11,8451.95,0.58,22156,67147,4,Fashion,2022-05-03,Silk & Style,May,9297.145000000002,845.1950000000015,0.38
All Ages,Product Launch,60 Days,Instagram,0.13,14533.87,4.71,37693,113166,4,Health,2022-06-01,Fitness Front,Jun,15987.257000000001,1453.3870000000006,0.39
Women 25-34,Product Launch,30 Days,Pinterest,0.12,5817.39,0.4522305770853546,8808,29660,1,Technology,2022-09-11,Cyber Circuit,Sep,6399.129000000001,581.7390000000005,0.66
Men 25-34,Brand Awareness,60 Days,Twitter,0.05,14127.38,2.13,36934,110919,7,Fashion,2022-11-01,Chic Couture,Nov,15540.118,1412.7380000000012,0.38
Women 35-44,Market Expansion,15 Days,Facebook,0.13,1232.07,7.69,3283,11245,8,Home,2022-05-24,Homely Haven,May,1355.277,123.20700000000011,0.38
Men 35-44,Product Launch,45 Days,Twitter,0.09,7816.55,4.75,20413,61983,9,Home,2022-12-04,Furnish Fine,Dec,8598.205000000002,781.6550000000016,0.38
Women 18-24,Product Launch,60 Days,Facebook,0.06,14825.46,3.5,38161,114553,7,Home,2022-04-27,Dwell Delight,Apr,16308.006000000001,1482.546000000002,0.39
Men 35-44,Increase Sales,30 Days,Twitter,0.1,5039.72,1.06,12877,39663,9,Home,2022-01-21,Living Luxe,Jan,5543.692000000001,503.97200000000066,0.39
Men 35-44,Market Expansion,30 Days,Twitter,0.12,5780.88,1.81,14896,45641,9,Fashion,2022-04-01,Glam Garments,Apr,6358.968000000001,578.0880000000006,0.39
Men 45-60,Brand Awareness,30 Days,Facebook,0.09,7706.52,6.24,20108,61082,10,Food,2022-02-06,Nosh Nirvana,Feb,8477.172,770.652,0.38
Women 35-44,Increase Sales,60 Days,Facebook,0.03,14826.27,4.81,38161,114555,10,Home,2022-06-17,Hearth Harmony,Jun,16308.897000000003,1482.6270000000022,0.39
Women 18-24,Market Expansion,15 Days,Twitter,0.03,1755.53,1.91,4339,14373,9,Technology,2022-07-13,NexGen Nerds,Jul,1931.083,175.5530000000001,0.4
Men 35-44,Market Expansion,45 Days,Instagram,0.14,10292.39,6.55,27145,81923,9,Health,2022-06-17,Elixir Essence,Jun,11321.629,1029.2390000000014,0.38
All Ages,Market Expansion,15 Days,Pinterest,0.13,2239.29,0.9241233531744204,3217,11458,1,Fashion,2022-08-08,Trend Tailors,Aug,2463.219,223.9290000000001,0.7
Men 25-34,Product Launch,15 Days,Twitter,0.12,3149.34,3.39,7764,24517,3,Home,2022-04-06,Cozy Corners,Apr,3464.2740000000003,314.9340000000002,0.41
Men 25-34,Brand Awareness,30 Days,Facebook,0.12,5978.26,5.12,15445,47267,9,Home,2022-09-21,Homely Haven,Sep,6576.086000000001,597.8260000000009,0.39
Men 18-24,Product Launch,45 Days,Twitter,0.15,10192.02,4.53,26877,81129,10,Food,2022-04-19,Epicurean Edge,Apr,11211.222000000002,1019.2020000000011,0.38
Men 35-44,Brand Awareness,60 Days,Instagram,0.12,13906.38,1.86,36470,109544,3,Food,2022-11-26,Palate Paradise,Nov,15297.018,1390.6380000000008,0.38
Men 45-60,Market Expansion,60 Days,Twitter,0.14,12241.11,5.89,32410,97518,7,Food,2022-11-18,Bistro Bliss,Nov,13465.221000000001,1224.1110000000008,0.38
Men 18-24,Market Expansion,30 Days,Instagram,0.04,5004.5,3.93,12786,39392,10,Technology,2022-04-09,Pixel Pioneers,Apr,5504.950000000001,500.4500000000007,0.39
Women 25-34,Product Launch,60 Days,Twitter,0.12,13445.33,2.6,35452,106530,7,Food,2022-07-07,Nosh Nirvana,Jul,14789.863000000001,1344.5330000000013,0.38
Women 18-24,Market Expansion,60 Days,Facebook,0.11,15000.0,4.79,38740,116268,10,Fashion,2022-08-21,Fiber Fashion,Aug,16500.0,1500.0,0.39
Men 45-60,Brand Awareness,60 Days,Twitter,0.09,11982.25,4.51,31721,95479,5,Food,2022-05-27,Palate Paradise,May,13180.475,1198.2250000000004,0.38
Women 35-44,Market Expansion,30 Days,Pinterest,0.07,4960.6,0.2144967164041207,7436,25195,1,Home,2022-12-13,Living Luxe,Dec,5456.660000000001,496.0600000000004,0.67
Men 18-24,Product Launch,15 Days,Pinterest,0.1,1924.72,0.7257138905006085,2773,10011,1,Technology,2022-01-15,Gadget Giants,Jan,2117.192,192.47199999999998,0.69
Men 25-34,Brand Awareness,45 Days,Facebook,0.13,7904.39,7.79,20649,62682,8,Food,2022-03-02,Nosh Nirvana,Mar,8694.829000000002,790.4390000000012,0.38
Women 35-44,Brand Awareness,45 Days,Instagram,0.11,10738.36,4.34,28361,85526,5,Home,2022-12-06,Dwell Delight,Dec,11812.196000000002,1073.8360000000011,0.38
Men 45-60,Increase Sales,45 Days,Pinterest,0.1,11357.68,0.3074452935125731,17649,58450,1,Health,2022-11-07,Elixir Essence,Nov,12493.448000000002,1135.7680000000018,0.64
Men 25-34,Product Launch,15 Days,Facebook,0.06,569.19,2.91,2183,7985,1,Health,2022-04-11,Heal Hub,Apr,626.1090000000002,56.919000000000096,0.26
Women 45-60,Market Expansion,60 Days,Pinterest,0.11,14444.4,1.3602666765294658,22045,72766,1,Home,2022-02-22,Domestic Dream,Feb,15888.84,1444.4400000000005,0.66
Men 45-60,Brand Awareness,60 Days,Facebook,0.11,14495.88,7.72,37628,112974,4,Technology,2022-12-10,Pixel Pioneers,Dec,15945.468,1449.5880000000016,0.39
Women 25-34,Market Expansion,60 Days,Facebook,0.04,13452.8,5.06,35471,106587,1,Home,2022-07-12,Furnish Fine,Jul,14798.08,1345.2800000000007,0.38
Men 18-24,Market Expansion,60 Days,Facebook,0.05,11654.4,6.72,30861,92931,8,Home,2022-04-22,Dwell Delight,Apr,12819.84,1165.4400000000005,0.38
All Ages,Brand Awareness,15 Days,Twitter,0.06,1358.41,5.45,3525,11962,6,Technology,2022-01-23,Innovate Infinity,Jan,1494.2510000000002,135.84100000000012,0.39
Women 35-44,Product Launch,15 Days,Pinterest,0.15,3799.03,0.5344543183736009,5576,19139,1,Home,2022-11-24,Living Luxe,Nov,4178.933000000001,379.9030000000007,0.68
Women 25-34,Product Launch,15 Days,Facebook,0.11,500.0,4.4,1985,7400,7,Fashion,2022-12-27,Chic Couture,Dec,550.0,50.0,0.25
Men 35-44,Brand Awareness,15 Days,Pinterest,0.03,1966.42,0.865136756163287,2833,10209,1,Technology,2022-01-01,Code Crafters,Jan,2163.0620000000004,196.64200000000028,0.69
Women 45-60,Increase Sales,45 Days,Pinterest,0.06,9722.89,1.0653336914738,15036,49943,1,Food,2022-07-01,Bistro Bliss,Jul,10695.179,972.2890000000007,0.65
Women 25-34,Increase Sales,45 Days,Pinterest,0.08,7994.41,0.1501477014828845,12274,40946,1,Technology,2022-07-21,Giga Geeks,Jul,8793.851,799.4410000000007,0.65
All Ages,Product Launch,45 Days,Instagram,0.06,10037.14,2.73,26449,79861,7,Health,2022-06-22,Well Wish,Jun,11040.854,1003.7139999999999,0.38
Women 18-24,Brand Awareness,30 Days,Twitter,0.13,6692.68,3.63,17356,52929,5,Health,2022-01-03,Aura Align,Jan,7361.948000000001,669.2680000000009,0.39
Men 18-24,Product Launch,30 Days,Pinterest,0.02,4924.37,0.7936378506952468,7382,25021,1,Food,2022-09-19,Bistro Bliss,Sep,5416.807000000001,492.4370000000008,0.67
Women 35-44,Increase Sales,30 Days,Instagram,0.09,7081.8,4.31,18418,56074,10,Technology,2022-08-23,Pixel Pioneers,Aug,7789.9800000000005,708.1800000000003,0.38
Women 18-24,Market Expansion,45 Days,Twitter,0.12,9346.91,5.18,24556,74255,2,Home,2022-01-17,Cozy Corners,Jan,10281.601,934.6910000000007,0.38
Men 45-60,Product Launch,60 Days,Pinterest,0.1,14308.12,0.008937363183505,21899,72286,1,Health,2022-11-24,Aura Align,Nov,15738.932000000003,1430.8120000000017,0.65
Women 25-34,Brand Awareness,15 Days,Instagram,0.1,500.0,1.01,1152,4932,5,Technology,2022-03-14,NexGen Nerds,Mar,550.0,50.0,0.43
Men 35-44,Product Launch,45 Days,Pinterest,0.04,8101.44,0.2699083681418519,12445,41505,1,Technology,2022-05-21,NexGen Nerds,May,8911.584,810.1440000000011,0.65
Men 35-44,Increase Sales,15 Days,Twitter,0.11,2821.89,6.86,6910,21988,7,Technology,2022-11-23,Tech Titans,Nov,3104.079,282.1890000000003,0.41
Men 18-24,Brand Awareness,60 Days,Instagram,0.06,12582.63,7.89,33300,100154,1,Home,2022-03-28,Nest Neat,Mar,13840.893,1258.2630000000008,0.38
Men 25-34,Product Launch,15 Days,Pinterest,0.09,3204.03,0.557691462650714,4641,16094,1,Home,2022-11-16,Cozy Corners,Nov,3524.4330000000004,320.40300000000025,0.69
All Ages,Product Launch,15 Days,Twitter,0.07,2159.08,4.0,5281,17161,3,Technology,2022-07-04,Code Crafters,Jul,2374.9880000000003,215.90800000000036,0.41
Men 45-60,Product Launch,30 Days,Facebook,0.03,5602.86,0.18,14416,44222,10,Fashion,2022-02-17,Runway Rebels,Feb,6163.146,560.2860000000001,0.39
Women 25-34,Increase Sales,60 Days,Instagram,0.13,11576.83,7.72,30652,92313,2,Technology,2022-10-22,Gadget Giants,Oct,12734.513,1157.683000000001,0.38
Men 35-44,Increase Sales,45 Days,Pinterest,0.08,9061.97,1.149344905398747,13969,46468,1,Fashion,2022-04-19,Mode Maven,Apr,9968.167,906.1970000000001,0.65
Men 35-44,Product Launch,15 Days,Pinterest,0.09,1316.5,1.2637431541476114,2022,7565,1,Food,2022-11-24,Dine Divine,Nov,1448.15,131.6500000000001,0.65
Women 45-60,Market Expansion,45 Days,Pinterest,0.1,10562.98,0.1966219900371107,16375,54303,1,Technology,2022-12-09,Giga Geeks,Dec,11619.278,1056.2980000000007,0.65
All Ages,Increase Sales,60 Days,Twitter,0.08,15000.0,7.87,39633,118913,2,Fashion,2022-12-17,Mode Maven,Dec,16500.0,1500.0,0.38
Men 25-34,Increase Sales,30 Days,Pinterest,0.12,7053.87,1.1815194128593651,10772,36058,1,Fashion,2022-11-03,Fiber Fashion,Nov,7759.2570000000005,705.3870000000006,0.65
Men 35-44,Brand Awareness,60 Days,Pinterest,0.05,13168.74,1.2762554626045184,20436,67523,1,Health,2022-08-22,Well Wish,Aug,14485.614000000001,1316.8740000000016,0.64
Men 18-24,Increase Sales,60 Days,Facebook,0.11,15000.0,3.07,39105,117351,1,Fashion,2022-03-01,Vogue Visions,Mar,16500.0,1500.0,0.38
Men 35-44,Brand Awareness,30 Days,Twitter,0.07,7016.32,2.94,18243,55556,2,Technology,2022-07-17,Silicon Saga,Jul,7717.952,701.6320000000005,0.38
Women 18-24,Brand Awareness,60 Days,Pinterest,0.08,13849.87,0.3128077114226761,21351,70505,1,Technology,2022-09-19,NexGen Nerds,Sep,15234.857000000002,1384.987000000001,0.65
Men 35-44,Brand Awareness,30 Days,Facebook,0.13,7536.17,2.41,19642,59701,2,Fashion,2022-11-01,Mode Maven,Nov,8289.787,753.6170000000002,0.38
Men 18-24,Product Launch,15 Days,Facebook,0.06,1931.88,2.93,4739,15556,8,Technology,2022-02-10,Tech Titans,Feb,2125.068,193.1880000000001,0.41
All Ages,Product Launch,45 Days,Facebook,0.14,9508.1,3.02,25001,75573,7,Fashion,2022-11-13,Trend Tailors,Nov,10458.910000000002,950.8100000000013,0.38
Women 18-24,Market Expansion,60 Days,Facebook,0.02,13793.32,4.04,36232,108841,6,Health,2022-02-23,Heal Hub,Feb,15172.652,1379.3320000000003,0.38
Men 25-34,Product Launch,30 Days,Twitter,0.1,6930.73,7.73,18011,54868,7,Fashion,2022-04-17,Attire Artistry,Apr,7623.803,693.0730000000003,0.38
Men 18-24,Product Launch,45 Days,Facebook,0.09,9813.94,4.96,25858,78112,1,Home,2022-01-10,Decor Dreams,Jan,10795.334,981.3940000000002,0.38
Women 18-24,Market Expansion,60 Days,Twitter,0.09,15000.0,5.15,38711,116182,6,Home,2022-08-19,Cozy Corners,Aug,16500.0,1500.0,0.39
Men 35-44,Brand Awareness,30 Days,Pinterest,0.02,4528.24,0.4254184875348394,6746,22947,1,Food,2022-06-04,Epicurean Edge,Jun,4981.064,452.8240000000005,0.67
Women 35-44,Product Launch,30 Days,Facebook,0.13,6535.31,0.23,16939,51695,6,Food,2022-07-10,Feast Flavors,Jul,7188.841000000001,653.5310000000009,0.39
All Ages,Market Expansion,15 Days,Instagram,0.14,500.0,3.4,1514,6004,9,Technology,2022-09-24,Gadget Giants,Sep,550.0,50.0,0.33
Men 18-24,Brand Awareness,60 Days,Instagram,0.09,13166.61,5.09,34789,104564,10,Health,2022-06-18,Fitness Front,Jun,14483.271000000002,1316.6610000000019,0.38
Women 18-24,Increase Sales,45 Days,Twitter,0.12,9298.12,1.36,24429,73880,9,Fashion,2022-06-20,Fiber Fashion,Jun,10227.932000000003,929.8120000000017,0.38
Women 45-60,Product Launch,60 Days,Facebook,0.09,15000.0,7.6,38711,116183,2,Technology,2022-01-06,Quantum Quirks,Jan,16500.0,1500.0,0.39
All Ages,Brand Awareness,15 Days,Pinterest,0.04,500.0,1.3209422785220435,994,4217,1,Fashion,2022-01-09,Fiber Fashion,Jan,550.0,50.0,0.5
Women 45-60,Brand Awareness,15 Days,Pinterest,0.07,1223.17,0.8758615919834931,1918,7229,1,Health,2022-04-30,Balance Beam,Apr,1345.487,122.31700000000001,0.64
Men 18-24,Market Expansion,60 Days,Instagram,0.09,15000.0,4.99,38951,116894,4,Fashion,2022-11-18,Attire Artistry,Nov,16500.0,1500.0,0.39
Women 35-44,Product Launch,45 Days,Instagram,0.1,10420.35,5.47,27494,82959,5,Food,2022-03-13,Feast Flavors,Mar,11462.385000000002,1042.0350000000017,0.38
Men 18-24,Increase Sales,60 Days,Instagram,0.03,12891.72,1.97,34106,102543,2,Technology,2022-06-22,Gadget Giants,Jun,14180.892,1289.1720000000005,0.38
Women 18-24,Increase Sales,15 Days,Facebook,0.13,3158.63,0.42,7788,24588,5,Health,2022-06-25,Vital Vigor,Jun,3474.4930000000004,315.8630000000003,0.41
Men 25-34,Product Launch,15 Days,Facebook,0.05,2365.78,4.0,5786,18657,4,Home,2022-05-25,Living Luxe,May,2602.3580000000006,236.57800000000043,0.41
Men 45-60,Market Expansion,60 Days,Instagram,0.05,13271.36,7.07,35041,105312,5,Health,2022-09-16,Well Wish,Sep,14598.496000000001,1327.1360000000004,0.38
Women 25-34,Product Launch,45 Days,Twitter,0.04,8133.99,0.33,21286,64570,2,Health,2022-10-06,Pulse Point,Oct,8947.389000000001,813.3990000000013,0.38
Men 45-60,Increase Sales,15 Days,Pinterest,0.06,500.0,0.9991972039158624,609,2965,1,Food,2022-06-07,Nosh Nirvana,Jun,550.0,50.0,0.82
Women 25-34,Market Expansion,15 Days,Twitter,0.03,500.0,0.2,724,3666,10,Health,2022-04-03,Heal Hub,Apr,550.0,50.0,0.69
All Ages,Increase Sales,45 Days,Facebook,0.1,10150.66,2.98,26769,80812,3,Health,2022-07-08,Fitness Front,Jul,11165.726,1015.0660000000007,0.38
Men 35-44,Brand Awareness,60 Days,Facebook,0.13,14265.89,0.03,37210,111738,6,Health,2022-10-28,Wellness Waves,Oct,15692.479000000001,1426.5890000000018,0.38
Women 35-44,Increase Sales,60 Days,Facebook,0.09,15000.0,2.57,39344,118057,1,Health,2022-09-29,Pulse Point,Sep,16500.0,1500.0,0.38
Women 18-24,Increase Sales,30 Days,Pinterest,0.14,6248.2,1.0778459999307068,9494,31896,1,Food,2022-07-01,Nosh Nirvana,Jul,6873.02,624.8200000000006,0.66
Men 45-60,Market Expansion,30 Days,Facebook,0.01,6415.32,6.46,16621,50752,9,Technology,2022-07-18,Pixel Pioneers,Jul,7056.852,641.5320000000002,0.39
Women 35-44,Market Expansion,60 Days,Instagram,0.05,12499.75,7.11,33083,99512,10,Fashion,2022-05-06,Runway Rebels,May,13749.725,1249.9750000000004,0.38
Men 35-44,Increase Sales,60 Days,Instagram,0.15,12797.16,2.16,33865,101830,8,Food,2022-12-14,Feast Flavors,Dec,14076.876,1279.7160000000003,0.38
Men 25-34,Market Expansion,60 Days,Instagram,0.14,12070.89,3.82,31953,96167,5,Home,2022-09-23,Space Spruce,Sep,13277.979000000001,1207.0890000000018,0.38
All Ages,Brand Awareness,45 Days,Pinterest,0.01,10017.36,0.8830114825302972,15501,51457,1,Fashion,2022-04-17,Chic Couture,Apr,11019.096000000001,1001.7360000000008,0.65
Women 45-60,Product Launch,60 Days,Pinterest,0.1,15000.0,0.7006892735867944,22755,75076,1,Home,2022-08-18,Hearth Harmony,Aug,16500.0,1500.0,0.66
Men 18-24,Brand Awareness,45 Days,Pinterest,0.14,9882.53,1.176156994949262,15292,50776,1,Food,2022-02-11,Gourmet Grove,Feb,10870.783000000001,988.2530000000006,0.65
Men 45-60,Market Expansion,15 Days,Facebook,0.04,500.0,4.99,1536,6071,4,Technology,2022-10-05,Pixel Pioneers,Oct,550.0,50.0,0.33
Women 25-34,Brand Awareness,30 Days,Facebook,0.01,5265.1,6.55,13496,41496,6,Health,2022-12-08,Wellness Waves,Dec,5791.610000000001,526.5100000000002,0.39
Men 45-60,Market Expansion,30 Days,Twitter,0.01,6255.15,3.03,16182,49453,7,Home,2022-02-14,Living Luxe,Feb,6880.665,625.5150000000003,0.39
Men 35-44,Brand Awareness,30 Days,Instagram,0.04,7173.65,0.44,18671,56823,7,Technology,2022-10-05,Pixel Pioneers,Oct,7891.015,717.3650000000007,0.38
Men 45-60,Increase Sales,15 Days,Facebook,0.05,584.6,2.81,2205,8050,1,Home,2022-09-19,Cozy Corners,Sep,643.0600000000001,58.460000000000036,0.27
Women 18-24,Increase Sales,45 Days,Facebook,0.02,9809.05,6.41,25845,78074,1,Food,2022-12-09,Epicurean Edge,Dec,10789.955,980.9050000000007,0.38
All Ages,Product Launch,45 Days,Instagram,0.13,8400.71,1.55,22015,66729,3,Home,2022-04-17,Dwell Delight,Apr,9240.780999999999,840.0709999999999,0.38
Men 18-24,Increase Sales,60 Days,Twitter,0.04,13232.72,1.24,34949,105039,10,Health,2022-03-03,Well Wish,Mar,14555.992,1323.2720000000008,0.38
Women 35-44,Brand Awareness,15 Days,Twitter,0.09,500.0,5.12,1404,5678,6,Technology,2022-04-04,Giga Geeks,Apr,550.0,50.0,0.36
Women 18-24,Brand Awareness,45 Days,Facebook,0.01,8504.86,3.7,22301,67576,3,Health,2022-11-11,Vital Vigor,Nov,9355.346000000001,850.4860000000008,0.38
Women 45-60,Increase Sales,30 Days,Pinterest,0.15,7113.98,0.005362417910103,10869,36374,1,Food,2022-02-11,Savor Street,Feb,7825.378,711.3980000000001,0.65
Women 45-60,Brand Awareness,60 Days,Pinterest,0.05,11420.35,1.2422934825071994,17749,58776,1,Food,2022-05-08,Epicurean Edge,May,12562.385000000002,1142.0350000000017,0.64
Men 45-60,Market Expansion,15 Days,Pinterest,0.01,500.0,0.582716079564528,526,2697,1,Fashion,2022-09-27,Fiber Fashion,Sep,550.0,50.0,0.95
Women 35-44,Market Expansion,45 Days,Facebook,0.02,9987.73,6.38,26316,79469,10,Technology,2022-12-23,Gadget Giants,Dec,10986.503,998.773000000001,0.38
Women 35-44,Brand Awareness,60 Days,Instagram,0.13,11855.8,7.8,31387,94489,7,Fashion,2022-03-02,Attire Artistry,Mar,13041.380000000001,1185.5800000000017,0.38
Men 25-34,Market Expansion,15 Days,Instagram,0.07,3701.73,1.25,9230,28860,2,Food,2022-03-03,Dine Divine,Mar,4071.9030000000002,370.17300000000023,0.4
Women 18-24,Increase Sales,15 Days,Facebook,0.06,3290.85,7.27,8133,25609,5,Food,2022-12-01,Epicurean Edge,Dec,3619.9350000000004,329.0850000000005,0.4
All Ages,Increase Sales,30 Days,Pinterest,0.13,7277.33,0.7418011442309177,11127,37213,1,Fashion,2022-01-15,Runway Rebels,Jan,8005.063000000001,727.7330000000011,0.65
Women 45-60,Market Expansion,15 Days,Instagram,0.04,1939.2,7.97,4757,15611,6,Health,2022-03-04,Vital Vigor,Mar,2133.1200000000003,193.9200000000003,0.41
Women 18-24,Brand Awareness,15 Days,Instagram,0.1,3430.98,0.78,8503,26705,4,Home,2022-08-22,Furnish Fine,Aug,3774.0780000000004,343.0980000000004,0.4
Women 35-44,Product Launch,60 Days,Twitter,0.08,11671.1,2.8,30903,93055,4,Fashion,2022-01-14,Vogue Visions,Jan,12838.210000000001,1167.1100000000006,0.38
Women 35-44,Market Expansion,15 Days,Pinterest,0.12,1607.54,0.7418011442309177,2364,8681,1,Health,2022-02-26,Wellness Waves,Feb,1768.294,160.75400000000013,0.68
Men 35-44,Market Expansion,30 Days,Pinterest,0.05,7176.48,1.3298796417055487,10970,36702,1,Food,2022-09-10,Dine Divine,Sep,7894.128000000001,717.648000000001,0.65
Men 35-44,Brand Awareness,45 Days,Instagram,0.13,9250.01,4.17,24300,73498,2,Home,2022-07-31,Homely Haven,Jul,10175.011,925.0010000000002,0.38
Men 18-24,Brand Awareness,45 Days,Pinterest,0.02,11108.94,1.070696109383903,17254,57163,1,Food,2022-03-13,Epicurean Edge,Mar,12219.834,1110.8940000000002,0.64
Men 35-44,Brand Awareness,60 Days,Facebook,0.12,11718.89,5.33,31029,93428,3,Home,2022-03-09,Homely Haven,Mar,12890.779,1171.889000000001,0.38
Women 45-60,Brand Awareness,15 Days,Facebook,0.02,3775.33,7.18,9430,29453,10,Health,2022-05-04,Heal Hub,May,4152.863,377.53300000000036,0.4
Men 45-60,Increase Sales,45 Days,Pinterest,0.14,10380.96,0.5737787163810231,16085,53356,1,Technology,2022-09-30,Innovate Infinity,Sep,11419.056,1038.0960000000014,0.65
Women 45-60,Brand Awareness,15 Days,Twitter,0.09,2217.17,1.44,5423,17582,8,Home,2022-06-22,Nest Neat,Jun,2438.887,221.7170000000001,0.41
Women 35-44,Increase Sales,15 Days,Instagram,0.09,2205.65,7.02,5396,17502,6,Health,2022-12-25,Wellness Waves,Dec,2426.215,220.56500000000005,0.41
Women 35-44,Brand Awareness,30 Days,Pinterest,0.15,4571.14,0.9884723680956564,6815,23172,1,Home,2022-09-04,Cozy Corners,Sep,5028.254000000001,457.1140000000005,0.67
Men 45-60,Increase Sales,15 Days,Instagram,0.11,3942.61,0.38,9885,30800,4,Fashion,2022-05-07,Attire Artistry,May,4336.871,394.26099999999997,0.4
Men 35-44,Brand Awareness,30 Days,Twitter,0.02,7683.85,6.44,20043,60887,5,Home,2022-07-14,Living Luxe,Jul,8452.235,768.3850000000002,0.38
Women 45-60,Product Launch,15 Days,Twitter,0.11,500.0,6.68,1502,5969,9,Health,2022-09-01,Heal Hub,Sep,550.0,50.0,0.33
Women 35-44,Increase Sales,30 Days,Twitter,0.11,7285.35,2.72,18967,57700,2,Health,2022-09-08,Aura Align,Sep,8013.885000000001,728.5350000000008,0.38
Women 45-60,Market Expansion,15 Days,Pinterest,0.03,2423.17,0.2234340795876258,3477,12304,1,Food,2022-05-30,Dine Divine,May,2665.487,242.317,0.7
Women 45-60,Increase Sales,45 Days,Instagram,0.08,10402.86,3.26,27446,82816,1,Food,2022-09-05,Dine Divine,Sep,11443.146000000002,1040.2860000000019,0.38
Women 35-44,Brand Awareness,15 Days,Facebook,0.12,500.0,0.63,533,3099,6,Food,2022-06-12,Palate Paradise,Jun,550.0,50.0,0.94
Men 45-60,Increase Sales,60 Days,Facebook,0.05,15000.0,0.17,38912,116778,7,Technology,2022-06-02,Pixel Pioneers,Jun,16500.0,1500.0,0.39
